ts,kalshi,team,side,espn_event,kickoff,dk_ml,dk_prob,k_bid,k_ask,k_mid,k_spread_c,gap_c,vol
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP09NESEA-SEA,Seattle,home,401872656,2026-09-10T00:20Z,-170,0.6038,0.62,0.63,0.625,1.0,2.12,566607.04
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP09NESEA-NE,New England,away,401872656,2026-09-10T00:20Z,142,0.3962,0.37,0.38,0.375,1.0,-2.12,560554.35
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP10SFLAR-SF,San Francisco,away,401872657,2026-09-11T00:35Z,154,0.3775,0.35,0.36,0.355,1.0,-2.25,439705.22
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP10SFLAR-LAR,Los Angeles R,home,401872657,2026-09-11T00:35Z,-185,0.6225,0.64,0.65,0.645,1.0,2.25,298138.76
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13BUFHOU-HOU,Houston,home,401872660,2026-09-13T17:00Z,-105,0.4892,0.49,0.5,0.495,1.0,0.58,70412.14
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13BUFHOU-BUF,Buffalo,away,401872660,2026-09-13T17:00Z,-115,0.5108,0.5,0.51,0.505,1.0,-0.58,145551.23
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13NODET-NO,New Orleans,away,401872923,2026-09-13T17:00Z,245,0.2779,0.25,0.27,0.26,2.0,-1.79,75814.48
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13NODET-DET,Detroit,home,401872923,2026-09-13T17:00Z,-305,0.7221,0.73,0.75,0.74,2.0,1.79,150004.68
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13NYJTEN-TEN,Tennessee,home,401872924,2026-09-13T17:00Z,-125,0.5325,0.53,0.54,0.535,1.0,0.25,31768.35
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13NYJTEN-NYJ,New York J,away,401872924,2026-09-13T17:00Z,105,0.4675,0.47,0.48,0.475,1.0,0.75,67453.85
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13TBCIN-TB,Tampa Bay,away,401872925,2026-09-13T17:00Z,170,0.3553,0.35,0.36,0.355,1.0,-0.03,51277.44
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13TBCIN-CIN,Cincinnati,home,401872925,2026-09-13T17:00Z,-205,0.6447,0.65,0.66,0.655,1.0,1.03,17449.03
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13CLEJAC-JAC,Jacksonville,home,401872922,2026-09-13T17:00Z,-440,0.7819,0.78,0.79,0.785,1.0,0.31,49508.37
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13CLEJAC-CLE,Cleveland,away,401872922,2026-09-13T17:00Z,340,0.2181,0.21,0.23,0.22,2.0,0.19,58636.76
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13ATLPIT-PIT,Pittsburgh,home,401872658,2026-09-13T17:00Z,-185,0.6225,0.63,0.64,0.635,1.0,1.25,61220.79
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13ATLPIT-ATL,Atlanta,away,401872658,2026-09-13T17:00Z,154,0.3775,0.37,0.38,0.375,1.0,-0.25,34356.87
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13BALIND-IND,Indianapolis,home,401872659,2026-09-13T17:00Z,145,0.3908,0.37,0.39,0.38,2.0,-1.08,27479.67
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13BALIND-BAL,Baltimore,away,401872659,2026-09-13T17:00Z,-175,0.6092,0.62,0.63,0.625,1.0,1.58,66458.32
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13CHICAR-CHI,Chicago,away,401872661,2026-09-13T17:00Z,-148,0.5721,0.59,0.6,0.595,1.0,2.29,130254.81
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13CHICAR-CAR,Carolina,home,401872661,2026-09-13T17:00Z,124,0.4279,0.4,0.41,0.405,1.0,-2.29,32407.2
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13WASPHI-WAS,Washington,away,401872929,2026-09-13T20:25Z,180,0.3425,0.31,0.33,0.32,2.0,-2.25,66523.99
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13WASPHI-PHI,Philadelphia,home,401872929,2026-09-13T20:25Z,-218,0.6575,0.67,0.68,0.675,1.0,1.75,42644.94
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13MIALV-MIA,Miami,away,401872928,2026-09-13T20:25Z,154,0.3775,0.36,0.37,0.365,1.0,-1.25,40516.06
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13MIALV-LV,Las Vegas,home,401872928,2026-09-13T20:25Z,-185,0.6225,0.62,0.63,0.625,1.0,0.25,48802.35
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13GBMIN-MIN,Minnesota,home,401872927,2026-09-13T20:25Z,-122,0.5261,0.52,0.53,0.525,1.0,-0.11,64133.07
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13GBMIN-GB,Green Bay,away,401872927,2026-09-13T20:25Z,102,0.4739,0.46,0.47,0.465,1.0,-0.89,167042.44
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13ARILAC-LAC,Los Angeles C,home,401872926,2026-09-13T20:25Z,-500,0.8,0.81,0.82,0.815,1.0,1.5,104246.18
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13ARILAC-ARI,Arizona,away,401872926,2026-09-13T20:25Z,380,0.2,0.18,0.19,0.185,1.0,-1.5,69541.7
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13DALNYG-NYG,New York G,home,401872930,2026-09-14T00:20Z,136,0.4066,0.4,0.41,0.405,1.0,-0.16,76738.12
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP13DALNYG-DAL,Dallas,away,401872930,2026-09-14T00:20Z,-162,0.5934,0.6,0.61,0.605,1.0,1.16,251627.96
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP14DENKC-KC,Kansas City,home,401872931,2026-09-15T00:15Z,-148,0.5721,0.56,0.57,0.565,1.0,-0.71,38266.99
2026-09-07T23:54:37+00:00,KXNFLGAME-26SEP14DENKC-DEN,Denver,away,401872931,2026-09-15T00:15Z,124,0.4279,0.43,0.44,0.435,1.0,0.71,175037.4
